tripduration,starttime,stoptime,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bikeid,usertype,birth_year,gender,customer_plan
317,2018-05-31T23:50:04.278000,2018-05-31T23:55:21.839000,519,Pershing Square North,40.751873,-73.977706,454,E 51 St & 1 Ave,40.75455731,-73.96592976,26701,Subscriber,1992,male,
685,2018-05-31T23:49:31.136000,2018-06-01T00:00:57.067000,519,Pershing Square North,40.751873,-73.977706,499,Broadway & W 60 St,40.76915505,-73.98191841,25581,Subscriber,1982,male,
965,2018-05-31T23:33:06.733000,2018-05-31T23:49:12.072000,519,Pershing Square North,40.751873,-73.977706,295,Pike St & E Broadway,40.71406667,-73.99293911,20961,Subscriber,1969,male,
528,2018-05-31T23:32:24.594000,2018-05-31T23:41:12.724000,519,Pershing Square North,40.751873,-73.977706,507,E 25 St & 2 Ave,40.73912601,-73.97973776,20587,Subscriber,1982,male,
2378,2018-05-31T23:29:25.438000,2018-06-01T00:09:03.568000,519,Pershing Square North,40.751873,-73.977706,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,15646,Subscriber,1970,male,
660,2018-05-31T22:55:15.049000,2018-05-31T23:06:15.510000,519,Pershing Square North,40.751873,-73.977706,3263,Cooper Square & Astor Pl,40.729514962249489,-73.990752696990967,32332,Subscriber,1994,male,
219,2018-05-31T22:52:09.863000,2018-05-31T22:55:49.438000,519,Pershing Square North,40.751873,-73.977706,526,E 33 St & 5 Ave,40.74765947,-73.98490707,25011,Subscriber,1987,male,
64,2018-05-31T22:48:02.977000,2018-05-31T22:49:07.339000,519,Pershing Square North,40.751873,-73.977706,519,Pershing Square North,40.751873,-73.977706,25011,Customer,1969,unknown,
1528,2018-05-31T22:46:31.198000,2018-05-31T23:11:59.778000,519,Pershing Square North,40.751873,-73.977706,3535,Mt Morris Park W & W 120 St,40.804038,-73.945925,25459,Subscriber,1985,female,
1650,2018-05-31T22:42:17.982000,2018-05-31T23:09:48.276000,519,Pershing Square North,40.751873,-73.977706,3087,Metropolitan Ave & Meeker Ave,40.71413311,-73.95234386,25802,Subscriber,1993,male,
756,2018-05-31T22:30:14.194000,2018-05-31T22:42:50.649000,519,Pershing Square North,40.751873,-73.977706,297,E 15 St & 3 Ave,40.734232,-73.986923,32609,Subscriber,1978,male,
537,2018-05-31T22:29:59.754000,2018-05-31T22:38:57.468000,519,Pershing Square North,40.751873,-73.977706,545,E 23 St & 1 Ave,40.736502,-73.97809472,32223,Subscriber,1975,male,
333,2018-05-31T22:20:52.812000,2018-05-31T22:26:25.845000,519,Pershing Square North,40.751873,-73.977706,529,W 42 St & 8 Ave,40.7575699,-73.99098507,33141,Subscriber,1972,male,
384,2018-05-31T21:55:34.213000,2018-05-31T22:01:58.946000,519,Pershing Square North,40.751873,-73.977706,505,6 Ave & W 33 St,40.74901271,-73.98848395,17022,Subscriber,1988,male,
1462,2018-05-31T21:55:07.205000,2018-05-31T22:19:29.566000,519,Pershing Square North,40.751873,-73.977706,3150,E 85 St & York Ave,40.77536905,-73.94803392,31146,Subscriber,1990,male,
420,2018-05-31T21:49:50.199000,2018-05-31T21:56:51.045000,519,Pershing Square North,40.751873,-73.977706,501,FDR Drive & E 35 St,40.744219,-73.97121214,15489,Subscriber,1989,male,
1875,2018-05-31T21:46:15.608000,2018-05-31T22:17:30.841000,519,Pershing Square North,40.751873,-73.977706,265,Stanton St & Chrystie St,40.72229346,-73.99147535,19177,Subscriber,1969,unknown,
2514,2018-05-31T21:41:00.436000,2018-05-31T22:22:55.376000,519,Pershing Square North,40.751873,-73.977706,3322,12 St & 4 Ave,40.668603,-73.9904394,27316,Subscriber,1996,male,
415,2018-05-31T21:38:00.893000,2018-05-31T21:44:56.120000,519,Pershing Square North,40.751873,-73.977706,527,E 33 St & 2 Ave,40.744023,-73.976056,32880,Subscriber,1999,male,
370,2018-05-31T21:32:43.646000,2018-05-31T21:38:54.555000,519,Pershing Square North,40.751873,-73.977706,3223,E 55 St & 3 Ave,40.758996559605116,-73.968653976917267,31384,Subscriber,1968,male,
317,2018-05-31T21:24:17.747000,2018-05-31T21:29:34.981000,519,Pershing Square North,40.751873,-73.977706,516,E 47 St & 1 Ave,40.75206862,-73.96784384,29859,Subscriber,1987,male,
1339,2018-05-31T21:14:20.498000,2018-05-31T21:36:39.825000,519,Pershing Square North,40.751873,-73.977706,3367,5 Ave & E 103 St,40.7922553,-73.95249933,30902,Subscriber,1973,male,
1346,2018-05-31T21:13:02.329000,2018-05-31T21:35:29.129000,519,Pershing Square North,40.751873,-73.977706,128,MacDougal St & Prince St,40.72710258,-74.00297088,16584,Subscriber,1962,female,
1358,2018-05-31T21:12:51.801000,2018-05-31T21:35:30.139000,519,Pershing Square North,40.751873,-73.977706,128,MacDougal St & Prince St,40.72710258,-74.00297088,28980,Subscriber,1962,female,
515,2018-05-31T21:06:23.868000,2018-05-31T21:14:59.332000,519,Pershing Square North,40.751873,-73.977706,492,W 33 St & 7 Ave,40.75019995,-73.99093085,25581,Subscriber,1960,male,
