tripduration,starttime,stoptime,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bikeid,usertype,birth_year,gender,customer_plan
1309,2018-05-31T23:57:18.469000,2018-06-01T00:19:07.806000,509,9 Ave & W 22 St,40.7454973,-74.00197139,3294,E 91 St & Park Ave,40.7835016,-73.955327,29098,Subscriber,1983,male,
236,2018-05-31T23:53:18.494000,2018-05-31T23:57:15.280000,509,9 Ave & W 22 St,40.7454973,-74.00197139,3686,Gansevoort St & Hudson St,40.739448201304036,-74.005070328712463,30767,Subscriber,1988,male,
73,2018-05-31T23:50:34.632000,2018-05-31T23:51:47.999000,509,9 Ave & W 22 St,40.7454973,-74.00197139,462,W 22 St & 10 Ave,40.74691959,-74.00451887,25065,Subscriber,1987,male,
83,2018-05-31T22:51:37.538000,2018-05-31T22:53:01.433000,509,9 Ave & W 22 St,40.7454973,-74.00197139,453,W 22 St & 8 Ave,40.74475148,-73.99915362,27469,Subscriber,1963,male,
258,2018-05-31T22:47:10.182000,2018-05-31T22:51:29.017000,509,9 Ave & W 22 St,40.7454973,-74.00197139,3686,Gansevoort St & Hudson St,40.739448201304036,-74.005070328712463,28749,Subscriber,1988,female,
323,2018-05-31T22:39:40.995000,2018-05-31T22:45:04.167000,509,9 Ave & W 22 St,40.7454973,-74.00197139,490,8 Ave & W 33 St,40.751551,-73.993934,31583,Subscriber,1935,female,
362,2018-05-31T22:35:18.727000,2018-05-31T22:41:21.540000,509,9 Ave & W 22 St,40.7454973,-74.00197139,247,Perry St & Bleecker St,40.73535398,-74.00483091,27038,Subscriber,1978,male,
545,2018-05-31T22:32:21.902000,2018-05-31T22:41:26.928000,509,9 Ave & W 22 St,40.7454973,-74.00197139,482,W 15 St & 7 Ave,40.73935542,-73.99931783,31951,Subscriber,1978,male,
251,2018-05-31T22:25:29.338000,2018-05-31T22:29:40.785000,509,9 Ave & W 22 St,40.7454973,-74.00197139,3258,W 27 St & 10 Ave,40.750181563256831,-74.002184271812439,26671,Subscriber,1958,male,
1065,2018-05-31T22:23:50.692000,2018-05-31T22:41:35.956000,509,9 Ave & W 22 St,40.7454973,-74.00197139,432,E 7 St & Avenue A,40.72621788,-73.98379855,30757,Subscriber,1989,male,
2591,2018-05-31T22:00:42.655000,2018-05-31T22:43:53.949000,509,9 Ave & W 22 St,40.7454973,-74.00197139,347,Greenwich St & W Houston St,40.728846,-74.008591,25819,Subscriber,1984,male,
2167,2018-05-31T21:49:34.230000,2018-05-31T22:25:41.302000,509,9 Ave & W 22 St,40.7454973,-74.00197139,509,9 Ave & W 22 St,40.7454973,-74.00197139,25226,Customer,1993,female,
2100,2018-05-31T21:49:17.162000,2018-05-31T22:24:17.745000,509,9 Ave & W 22 St,40.7454973,-74.00197139,509,9 Ave & W 22 St,40.7454973,-74.00197139,16160,Customer,1984,male,
820,2018-05-31T21:41:57.159000,2018-05-31T21:55:38.110000,509,9 Ave & W 22 St,40.7454973,-74.00197139,3431,E 35 St & 3 Ave,40.746524,-73.977885,21236,Subscriber,1986,male,
1433,2018-05-31T21:41:05.731000,2018-05-31T22:04:59.149000,509,9 Ave & W 22 St,40.7454973,-74.00197139,499,Broadway & W 60 St,40.76915505,-73.98191841,31445,Subscriber,1993,female,
1471,2018-05-31T21:40:19.974000,2018-05-31T22:04:51.958000,509,9 Ave & W 22 St,40.7454973,-74.00197139,499,Broadway & W 60 St,40.76915505,-73.98191841,18901,Subscriber,1991,male,
757,2018-05-31T21:35:35.509000,2018-05-31T21:48:12.536000,509,9 Ave & W 22 St,40.7454973,-74.00197139,450,W 49 St & 8 Ave,40.76227205,-73.98788205,28529,Subscriber,1987,male,
