tripduration,starttime,stoptime,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bikeid,usertype,birth_year,gender,customer_plan
1539,2018-05-31T23:58:59.834000,2018-06-01T00:24:39.164000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,363,West Thames St,40.70834698,-74.01713445,31384,Subscriber,1989,male,
997,2018-05-31T23:49:52.450000,2018-06-01T00:06:29.536000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,3142,1 Ave & E 62 St,40.7612274,-73.96094022,33141,Subscriber,1966,male,
299,2018-05-31T23:47:13.350000,2018-05-31T23:52:12.591000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,478,11 Ave & W 41 St,40.76030096,-73.99884222,31630,Subscriber,1987,male,
593,2018-05-31T23:25:01.129000,2018-05-31T23:34:55.123000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,514,12 Ave & W 40 St,40.76087502,-74.00277668,17591,Customer,1969,unknown,
607,2018-05-31T23:24:48.211000,2018-05-31T23:34:55.469000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,514,12 Ave & W 40 St,40.76087502,-74.00277668,15056,Customer,1969,unknown,
370,2018-05-31T23:20:59.778000,2018-05-31T23:27:09.991000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,447,8 Ave & W 52 St,40.76370739,-73.9851615,21000,Subscriber,1967,female,
889,2018-05-31T22:43:30.474000,2018-05-31T22:58:20.148000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,497,E 17 St & Broadway,40.73704984,-73.99009296,20587,Subscriber,1957,male,
1339,2018-05-31T22:38:19.585000,2018-05-31T23:00:38.932000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,265,Stanton St & Chrystie St,40.72229346,-73.99147535,31820,Subscriber,1969,unknown,
995,2018-05-31T22:36:14.308000,2018-05-31T22:52:49.723000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,527,E 33 St & 2 Ave,40.744023,-73.976056,25535,Subscriber,1984,male,
548,2018-05-31T22:21:03.934000,2018-05-31T22:30:12.373000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,530,11 Ave & W 59 St,40.771522,-73.990541,28382,Subscriber,1990,male,
700,2018-05-31T22:19:25.720000,2018-05-31T22:31:06.289000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,3658,W 18 St & 9 Ave,40.7435337324616,-74.003675580024719,33387,Subscriber,1984,male,
1048,2018-05-31T22:18:56.851000,2018-05-31T22:36:24.964000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,24953,Subscriber,1983,male,
705,2018-05-31T22:03:26.998000,2018-05-31T22:15:12.442000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,509,9 Ave & W 22 St,40.7454973,-74.00197139,28544,Subscriber,1967,female,
508,2018-05-31T21:50:59.372000,2018-05-31T21:59:27.431000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,446,W 24 St & 7 Ave,40.74487634,-73.99529885,19909,Subscriber,1983,male,
353,2018-05-31T21:48:24.038000,2018-05-31T21:54:17.145000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,519,Pershing Square North,40.751873,-73.977706,31146,Subscriber,1968,male,
1271,2018-05-31T21:45:49.188000,2018-05-31T22:07:00.700000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,474,5 Ave & E 29 St,40.7451677,-73.98683077,20382,Subscriber,1982,male,
1550,2018-05-31T21:33:46.374000,2018-05-31T21:59:36.732000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,327,Vesey Pl & River Terrace,40.7153379,-74.01658354,29139,Subscriber,1978,male,
543,2018-05-31T21:05:03.364000,2018-05-31T21:14:07.085000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,492,W 33 St & 7 Ave,40.75019995,-73.99093085,33104,Customer,1990,male,
573,2018-05-31T21:04:39.945000,2018-05-31T21:14:13.295000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,492,W 33 St & 7 Ave,40.75019995,-73.99093085,18623,Customer,1993,female,
394,2018-05-31T20:53:46.761000,2018-05-31T21:00:21.068000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,519,Pershing Square North,40.751873,-73.977706,20812,Subscriber,1968,male,
174,2018-05-31T20:36:03.833000,2018-05-31T20:38:58.107000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,515,W 43 St & 10 Ave,40.76009437,-73.99461843,25444,Subscriber,1957,male,
226,2018-05-31T20:31:09.132000,2018-05-31T20:34:55.872000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,490,8 Ave & W 33 St,40.751551,-73.993934,25501,Subscriber,1992,male,
703,2018-05-31T20:31:07.923000,2018-05-31T20:42:50.998000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,167,E 39 St & 3 Ave,40.7489006,-73.97604882,15304,Subscriber,1994,female,
1488,2018-05-31T20:22:27.405000,2018-05-31T20:47:15.609000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,3142,1 Ave & E 62 St,40.7612274,-73.96094022,30679,Subscriber,1989,male,
300,2018-05-31T20:15:58.259000,2018-05-31T20:20:58.568000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,3635,W 36 St & 9 Ave,40.754623240291053,-73.99516761302948,21300,Subscriber,1990,male,
451,2018-05-31T20:11:27.661000,2018-05-31T20:18:58.683000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,480,W 53 St & 10 Ave,40.76669671,-73.99061728,15685,Subscriber,1994,female,
824,2018-05-31T20:03:13.839000,2018-05-31T20:16:58.605000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,173,Broadway & W 49 St,40.76068327096592,-73.9845272898674,25729,Subscriber,1976,male,
174,2018-05-31T19:56:19.516000,2018-05-31T19:59:14.160000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,495,W 47 St & 10 Ave,40.76269882,-73.99301222,17666,Subscriber,1991,male,
418,2018-05-31T19:54:16.143000,2018-05-31T20:01:14.812000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,525,W 34 St & 11 Ave,40.75594159,-74.0021163,28536,Subscriber,1983,male,
1451,2018-05-31T19:51:17.040000,2018-05-31T20:15:29.002000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,3289,W 90 St & Amsterdam Ave,40.790179480950812,-73.972889184951782,17058,Subscriber,1993,male,
850,2018-05-31T19:43:09.231000,2018-05-31T19:57:19.449000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,3163,Central Park West & W 68 St,40.7734066,-73.97782542,33238,Subscriber,1975,unknown,
843,2018-05-31T19:43:09.004000,2018-05-31T19:57:13.003000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,3163,Central Park West & W 68 St,40.7734066,-73.97782542,31498,Subscriber,1971,female,
411,2018-05-31T19:37:22.589000,2018-05-31T19:44:14.586000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,450,W 49 St & 8 Ave,40.76227205,-73.98788205,14839,Subscriber,1994,male,
244,2018-05-31T19:13:26.275000,2018-05-31T19:17:31.237000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,508,W 46 St & 11 Ave,40.76341379,-73.99667444,14914,Subscriber,1990,male,
313,2018-05-31T19:13:11.841000,2018-05-31T19:18:25.614000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,450,W 49 St & 8 Ave,40.76227205,-73.98788205,15398,Subscriber,1994,male,
3839,2018-05-31T19:07:44.867000,2018-05-31T20:11:44.829000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,267,Broadway & W 36 St,40.75097711,-73.98765428,25288,Subscriber,1960,male,
132,2018-05-31T18:53:25.665000,2018-05-31T18:55:38.648000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,465,Broadway & W 41 St,40.75513557,-73.98658032,27629,Subscriber,1967,male,
330,2018-05-31T18:52:54.213000,2018-05-31T18:58:25.179000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,447,8 Ave & W 52 St,40.76370739,-73.9851615,32503,Subscriber,1989,male,
264,2018-05-31T18:21:37.658000,2018-05-31T18:26:02.114000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,478,11 Ave & W 41 St,40.76030096,-73.99884222,29878,Subscriber,1985,male,
630,2018-05-31T18:17:46.492000,2018-05-31T18:28:17.314000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,530,11 Ave & W 59 St,40.771522,-73.990541,25738,Subscriber,1970,male,
598,2018-05-31T18:16:13.079000,2018-05-31T18:26:11.603000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,3176,W 64 St & West End Ave,40.77452835,-73.98753759,21622,Subscriber,1980,male,
709,2018-05-31T18:07:19.009000,2018-05-31T18:19:08.081000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,530,11 Ave & W 59 St,40.771522,-73.990541,32340,Subscriber,1980,male,
352,2018-05-31T18:07:17.893000,2018-05-31T18:13:10.577000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,362,Broadway & W 37 St,40.75172632,-73.98753523,25213,Subscriber,1987,male,
896,2018-05-31T18:04:55.015000,2018-05-31T18:19:51.279000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,3173,Riverside Blvd & W 67 St,40.777507027547976,-73.988885879516587,28150,Subscriber,1974,male,
426,2018-05-31T17:59:27.864000,2018-05-31T18:06:34.230000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,72,W 52 St & 11 Ave,40.76727216,-73.99392888,32894,Subscriber,1973,male,
393,2018-05-31T17:58:30.994000,2018-05-31T18:05:04.326000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,453,W 22 St & 8 Ave,40.74475148,-73.99915362,16379,Subscriber,1991,male,
332,2018-05-31T17:50:49.808000,2018-05-31T17:56:22.464000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,3680,E 43 St & 5 Ave,40.754120810779256,-73.980251848697662,31146,Subscriber,1994,male,
1321,2018-05-31T17:49:39.921000,2018-05-31T18:11:41.839000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,487,E 20 St & FDR Drive,40.73314259,-73.97573881,30528,Subscriber,1991,male,
560,2018-05-31T17:44:47.615000,2018-05-31T17:54:08.042000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,457,Broadway & W 58 St,40.76695317,-73.98169333,27046,Subscriber,1990,male,
822,2018-05-31T17:44:13.010000,2018-05-31T17:57:55.626000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,3165,Central Park West & W 72 St,40.775793766836657,-73.9762057363987,25090,Subscriber,1992,male,
243,2018-05-31T17:42:43.011000,2018-05-31T17:46:46.786000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,465,Broadway & W 41 St,40.75513557,-73.98658032,28789,Subscriber,1984,male,
1746,2018-05-31T17:32:22.316000,2018-05-31T18:01:28.827000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,259,South St & Whitehall St,40.70122128,-74.01234218,30029,Subscriber,1965,male,
1119,2018-05-31T17:30:45.807000,2018-05-31T17:49:25.171000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,3372,E 74 St & 1 Ave,40.7689738,-73.95482273,30305,Subscriber,1971,male,
601,2018-05-31T17:29:48.373000,2018-05-31T17:39:49.678000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,518,E 39 St & 2 Ave,40.74780373,-73.9734419,33123,Subscriber,1984,male,
2036,2018-05-31T17:29:05.351000,2018-05-31T18:03:01.758000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,3508,St Nicholas Ave & Manhattan Ave,40.809725,-73.953149,31624,Subscriber,1967,male,
1872,2018-05-31T17:08:23.060000,2018-05-31T17:39:35.354000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,3541,Amsterdam Ave & W 125 St,40.813358,-73.956461,25452,Subscriber,1979,male,
323,2018-05-31T17:04:26.385000,2018-05-31T17:09:50.080000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,3235,E 41 St & Madison Ave,40.752165280621966,-73.979921936988816,26047,Subscriber,1961,male,
1695,2018-05-31T16:44:49.288000,2018-05-31T17:13:04.290000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,2008,Little West St & 1 Pl,40.70569254,-74.01677685,30526,Subscriber,1974,male,
605,2018-05-31T16:40:27.201000,2018-05-31T16:50:32.407000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,72,W 52 St & 11 Ave,40.76727216,-73.99392888,31771,Subscriber,1988,male,
351,2018-05-31T16:39:56.973000,2018-05-31T16:45:48.568000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,514,12 Ave & W 40 St,40.76087502,-74.00277668,28202,Subscriber,1963,male,
604,2018-05-31T16:37:18.838000,2018-05-31T16:47:23.587000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,508,W 46 St & 11 Ave,40.76341379,-73.99667444,20956,Subscriber,1986,female,
726,2018-05-31T16:06:40.629000,2018-05-31T16:18:47.160000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,3431,E 35 St & 3 Ave,40.746524,-73.977885,31670,Subscriber,1994,female,
538,2018-05-31T16:03:03.118000,2018-05-31T16:12:01.284000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,422,W 59 St & 10 Ave,40.770513,-73.988038,15011,Subscriber,1967,male,
784,2018-05-31T16:02:54.060000,2018-05-31T16:15:58.447000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,346,Bank St & Hudson St,40.73652889,-74.00618026,26508,Subscriber,1980,male,
336,2018-05-31T15:59:48.909000,2018-05-31T16:05:25.311000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,529,W 42 St & 8 Ave,40.7575699,-73.99098507,31624,Subscriber,1961,male,
597,2018-05-31T15:47:47.038000,2018-05-31T15:57:45.037000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,3680,E 43 St & 5 Ave,40.754120810779256,-73.980251848697662,28366,Subscriber,1958,male,
2216,2018-05-31T15:02:41.927000,2018-05-31T15:39:38.423000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,3378,E 76 St & Park Ave,40.773763,-73.96222088,28604,Subscriber,1969,unknown,
343,2018-05-31T13:50:56.453000,2018-05-31T13:56:40.382000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,450,W 49 St & 8 Ave,40.76227205,-73.98788205,26378,Subscriber,1970,female,
460,2018-05-31T13:42:47.778000,2018-05-31T13:50:27.975000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,468,Broadway & W 56 St,40.7652654,-73.98192338,16960,Subscriber,1992,male,
902,2018-05-31T13:39:58.677000,2018-05-31T13:55:00.735000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,253,W 13 St & 5 Ave,40.73543934,-73.99453948,25434,Subscriber,1980,male,
398,2018-05-31T13:30:09.690000,2018-05-31T13:36:47.986000,529,W 42 St & 8 Ave,40.7575699,-73.99098507,478,11 Ave & W 41 St,40.76030096,-73.99884222,32036,Subscriber,1970,male,
